,name,description,ResponsibleMissionDirectorate:,LeadOrganization:,ResponsibleProgram:,ProgramDirector:,ProgramManager:,ProjectManager:,PrincipalInvestigator:,Co-Investigator:,Start,End,ProjectManagers:,PrincipalInvestigators:,LeadCenter/Facility:,ProgramDirectors:,Co-Investigators:,ProgramManagers:
0,Characterizing Quantum Devices Using the Principles of Quantum Information,"This proposal outlines ongoing and future work pertaining to the development and characterization of quantum devices. The suggested methodologies borrow ideas and rely on techniques from quantum information theory. Specifically, four projects are discussed: developing single-site rotations in a Penning trap as a scalable mode of quantum computation, enabling large-scale quantum optimization in a neutral atom trap, benchmarking quantum computers with a quantum error detecting code, and bounding the integrated quantum Fisher information for metrological protocols. The first two projects are experimental collaborations working towards quantum computation with hundreds of qubits. The last two projects work towards developing theory to benchmark quantum computers and build quantum sensors. The first project is using an electromagnetic trap to confine ions, and perform manipulations on individual ions in the trap. These in turn will enable the use of the trap as a quantum computer. The second project involves developing algorithms for solving combinatorial optimization problems using a classical computer in tandem with a quantum computer. This research considers the particular case of hundreds of qubits, with noisy and slow measurements. The third project is continuing to develop an error detecting code that can be used to encode one logical qubit into four physical qubits. The proposed work provides a method for demonstrating genuine quantum error correction, as well as developing benchmarks for noisy quantum computers. Finally, the last project discusses developing theoretical bounds on a quantity in quantum information theory. By deriving these bounds, we will be able to build quantum sensors that are maximally sensitive over a range of frequencies.
More »",Space Technology Mission Directorate(STMD),University of Colorado Boulder,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,EleanorGRieffel,GraemeSmith,AnthonyPolloreno,Aug2021,Aug2025,,,,,,
1,Quantum Pathways Institute,"The University of Texas at Austin will lead the Quantum Pathways Institute, focused on advancing quantum sensing technology for next-generation Earth science applications. Such technology would enable new understanding of our planet and the effects of climate change.  Quantum sensors use quantum physics principles to potentially collect more precise data and enable unprecedented science measurements. These sensors could be particularly useful for satellites in orbit around Earth to collect mass change data – a type of measurement that can tell scientists about how ice, oceans, and land water are moving and changing. Though the basic physics and technology for quantum sensors have been proven in concept, work is required to develop quantum sensors at the precisions necessary for next-generation science needs during spaceflight missions. The institute will work to further advance the physics underlying quantum sensors, design how these sensors could be built for space missions and understand how mission design and systems engineering would need to adapt to accommodate this new technology.
More »",Space Technology Mission Directorate(STMD),The University of Texas at Austin,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,PeterGBrereton,SrinivasBettadpur,,Mar2023,Oct2028,,,,,,
2,Toward Universal Quantum Optimal Photonic Processing Using Quantum Computation,"An efficient general encoding scheme for transferring photonic quantum states to physical quantum memories would provide a physical realization of quantum optimal receiver designs, whose performance can achieve orders of magnitude improvement over current communications and sensing technologies. The objective of this proposal is to develop such an encoding scheme through investigating novel light-matter Hamiltonians, like the Jaynes-Cumming Hamiltonian, the non-Gaussian Kerr-like gate Hamiltonian, among others. This investigation will be followed by in depth physical modeling of the performance when such schemes are applied to quantum optimal receiver designs, and optimization based on results. Many of the quantum optimal receiver designs have been developed by NASA for application to deep space quantum communications in the low-photon number regime. Their physical realization would provide access to highly efficient laser communications systems for future NASA missions. The realization of this photonic quantum state encoding receiver would also prove highly valuable for entanglement enhanced long baseline astronomy, as well as sensitive earth and planetary science observations, maximizing the ability to extract available information from incoming light. Outside of NASA, this technology also has many cross-over possibilities, as quantum efficient sensing and communication would prove greatly useful to humanity.
						More »",Space Technology Mission Directorate(STMD),University of Arizona,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,,SaikatGuha,JosephRichardson,Aug2023,Aug2027,,,,,,
3,"Deep Space Quantum Link
		
			(DSQL)","Quantum optical communications is an emerging space-based technology that could potentially increase the information capacity of communications networks significantly and provide fundamentally secure communication links between trusted nodes within the network using Quantum Key Distribution (QKD). The Deep Space Quantum Link (DSQL) will develop the  technology to perform pioneering experiments on gravitational effects on quantum systems, test the basic assumptions of quantum theory, and demonstrate QKD at deep space distances.  The scientific objectives of the DSQL is to test the coupling of General Relativity, the physics most often associated with cosmology, with Quantum Field Theory, the physics of wave-like particles.  The DSQL will perform three experiments. Experiment A will study the effects of different inertial reference frames on Quantum Teleportation from the DSG to the ISS or to the ground. Experiment B will test for violations of Bell's inequality using quantum teleportation to lunar distances, more than two orders of magnitude longer than previous tests. Experiment C will establish a simple quantum communication link from the DSG to the ISS or to ground stations and evaluate the influence of a curved space time on communications. A Science Definition Team (SDT) was recently selected to aid JPL/NASA in determining the science objectives for the DSQL and the key technologies required for its implementation. The SDT consists of members from University of Illinois, Harvey-Mudd College, University of Maryland, University of Toronto, Canada, and University of Bremen, Germany. The SDT will also draw on expertise as needed from interested researchers at Los Alamos National Laboratory, Max Planck Institute, Germany, University of Ulm, Germany, Leibniz University, Germany, and the National university of Singapore.
More »",Science Mission Directorate(SMD),Jet Propulsion Laboratory(JPL),Physical Sciences Research Program,,MaryRWalsh,UlfEIsraelsson,MakanMohageg,NanYu,Oct2020,Sep2024,,,,,,
4,On-Chip Quantum Repeater in Diamond for Space-Based Quantum Communication,"The focus of my research is on the optical properties of diamond. A diamond is composed of a crystal arrangement of carbon atoms and it is this structure that gives it strong mechanical forces along a single crystal direction. Due to this structure, diamonds mechanical properties have been the center of much research in materials science and mechanical engineering for much of the past century. However, in the past two decades, optical scientists have also discovered another use for the diamond. Due to the same mechanical property explained above, when a nitrogen substitution defect is in diamond, it also remains very stable. It is this stable, nitrogen impurity in diamond that will be the center of my investigations. Atomic physicists have been pioneering the work in manipulating atoms for applications in quantum communication. Quantum communication comprises of three major components: transportation (via photons), storage (via nuclear spins or atoms), and processing (via microwaves) of information. Though many of the major processes for this vision have been experimentally realized in the last two decades on individual atoms, much more work remains to be done to culminate in a quantum communication protocol. The optical state of the nitrogen atom, such as its energy levels, can be accessed and read out by illumination and detection of photons. The single nitrogen impurity atom is essentially well trapped by the crystal lattice of carbons, and allows for convenient investigation without the need for building a complex apparatus for trapping a single atom. The first stage of my research will be to controllably write to and read out of highly stable nitrogen impurities in diamond to act as a quantum memory node or also a highly sensitive magnetometer. The memory node being the state of the atom, and the sensitive magnetometer being from how environmental conditions, such as an applied magnetic or electric field, affect the read-out of the nitrogen impurity. One specific application to which I will be working towards is an in-situ method of measuring the electric pulses of neurons in mice using nanometer-sized diamonds. These nanodiamonds would potentially be useful for the live-imaging of neural activity of biological systems in space. The guiding and manipulating of light on a compact chip is known as integrated optics. In the second stage of my research, I aim to engineer structures onto diamond solids or other materials such that light can be guided into and out of the nitrogen impurity for optical manipulation in a compact and scalable manner. This would fully implement the diamond impurity as a quantum repeater to enable quantum communication over even further distances. Quantum communication through space has also recently been laid in two ways. The first step was taken by scientists at NASAs Goddard Space Flight Research Center. In the past decade, they began implementing optical, rather than microwave communication hardware which has enabled about 100 times faster data communication rates between much of the space based instruments under NASAs direction. This upgrade has been popularly likened to NASAs internet going from a dial-up modem to todays high-speed fiber optic based internet speeds. The second step has been taken by physicists that have demonstrated entanglement over a distance of 144km through space. As communication moves to, and will probably remain, in the optical regime, quantum communication will grow more and more relevant to NASAs communication technologies. I have thus listed two major applications for diamond in this proposal: neurobiology and quantum communication. Without a doubt, both fields will play an important role in the next stage of NASAs endeavor for space exploration.
						More »",Space Technology Mission Directorate(STMD),Massachusetts Institute of Technology(MIT),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,,DirkEnglund,EdwardYChen,Feb2013,Aug2016,,,,,,
5,Diamond Quantum Memory,"As quantum systems for information processing and communication continue to grow in size and complexity, novel methods of transferring and storing quantum information are needed. Quantum memory elements must retain quantum information much longer than their processing counterparts, transfer information quickly and efficiently to and from processing and flying qubits, be capable of heralding entanglement and teleportation events across a quantum network, and be scalable to large numbers of qubits. Hybrid mechanical systems, which use mechanical oscillators to control and connect quantum elements, are poised to fulfill just such a role and have grown in prominence in recent years due to their ability to couple to a wide variety of quantum systems and the number of practical advantages mechanical systems have over their photonic analogues. Furthermore, optomechanical crystal (OMC) devices, which leverage interactions between light and mechanical motion, have demonstrated many of the requirements for quantum memories. We seek to build upon previous efforts at implementing an OMC quantum memory by using diamond as a host material and coupling our diamond OMCs to a highly-coherent silicon-vacancy center spin as a long-lived quantum memory element. By adding this additional memory component and using diamond as our host material, we aim to develop a quantum memory and quantum communication platform that is resistant to optical absorption heating that has plagued silicon implementations and which can be scaled up and integrated into large-scale quantum networks.
						More »",Space Technology Mission Directorate(STMD),Systems & Processes Engineering Corporation,Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,,,Jul2022,Aug2023,MatthewCDeans,JeffCady,,,,
6,A diamond nanophotonics platform for quantum communication with multiplexed qubit repeaters,"The world of quantum mechanics offers new mechanisms for communication, computation, and sensing. Quantum networks enable the transmission of quantum information over long distances by first distributing entanglement across many quantum repeaters, and then using this entanglement as a resource for state teleportation. Reports of the first memory-based quantum repeater node that beats direct photon transmission between two points has set the stage for the development of a quantum internet of connected quantum repeaters, computers, and sensors.  High speed, long range transfer of quantum information can be achieved by multiplexing many memory-assisted quantum repeater nodes. With their efficient spin-photon interfaces and long coherence times, atomic defect qubits in diamond have become the leading solid state platform for this application. My research seeks to develop an all-in-one platform for electronic and photonic control of atomic memories in diamond. By integrating hundreds of quantum memories on one chip, I will enable scalable production of quantum repeater nodes with individually-manipulable qubits. These quantum repeater nodes can be joined into a quantum network capable of interconnecting ground stations, spacecraft, and satellites, with implications for precision navigation and timing, secure data transfer, and distributed computing. Moreover, quantum networks can be used to drastically extend the baseline for large-aperture astronomical interferometry, enabling higher imaging resolution than ever before.
More »",Space Technology Mission Directorate(STMD),Massachusetts Institute of Technology(MIT),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,JohnDLekki,DirkEnglund,MadisonSutula,Aug2020,Jul2024,,,,,,
7,Ultra-narrow Linewidth Lasers for Deployed Quantum Timing Applications,"Vescent Photonics, LLC (Vescent) in collaboration with the Massachusetts Institute of Technology Lincoln Laboratory (MIT-LL) proposes to develop a compact ultra-narrow linewidth laser based on photonic integrated chip (PIC) technology for next-generation fieldable quantum sensor applications including optical atomic clocks, two-way time transfer, and precision inertial force and gravity sensing. Atomic clocks represent the most precise and accurate instruments developed by scientists to date and enable applications including the measurement of weak gravitational fields in near-zero gravity as well as accurate positioning, navigation, and timing (PNT) onboard a spacecraft. However, high-performance optical atomic clocks, including Sr+ trapped-ion clocks, currently only exist in laboratory settings due to constraints on the size, weight, power, and cost (SWaP-C) and environmental susceptibility of critical technology subsystems. One of the key subsystems so far hindering the transition of these high-performance optical clocks outside the laboratory is the ultra-narrow-linewidth (< 100 Hz) laser required to interrogate the atoms. The solution proposed here for the development of an ultra-narrow linewidth laser is an extension to the initial demonstrations by Dr. William Loh at MIT-LL with fiber-based stimulated Brillouin scattering (SBS) lasers which have been demonstrated in an operating Sr+ trapped-ion clock, resulting in an ADEV of 3.9E-14/(Tau)^(0.5). Using these fiber-based results as a baseline, recent measurements conducted by the MIT-LL team have shown an evolution toward PIC-based waveguide cavities that can support ultranarrow-linewidth lasers via SBS. The effort proposed here seeks to integrate necessary chip-scale components to move towards a design where the entire ultra-narrow-linewidth laser system is contained on a chip-scale device.
						More »",Space Technology Mission Directorate(STMD),"Vescent Photonics, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,BennettSodergren,,Nov2022,Nov2024,TheresaMStanley,,,,,
8,Ultra-Efficient Integrated Photonic Quantum Transceiver for High-Speed Quantum Communications,"This program will develop a new class of 'on-a-chip' quantum transceivers that can operate at T ~ 250K range with performance meeting NASA's needs for secure ultra-high-speed data free-space communications for future aerospace applications. Ground-to-satellite and satellite-to-satellite quantum encrypted communications, distributed sensing, and networking demand a disruptive ‘on-a-chip’ technology that permits ultra-efficient, high-speed entangled-photon generation and single-photon detection packaged to provide low size, weight, power, and cost. The program integrates technology developed by both the University of California, Santa Barbara, (UCSB) and Amethyst. The UCSB Team has demonstrated a <0.4 dB/cm loss AlGaAs-on-insulator photonics platform for entangled-photon pair generation. Signal rates >10 GHz/mW2 have been demonstrated—at least 100X faster than all other approaches and 10,000X faster than silicon integrated-photonic sources. Waveguide-integrated superconducting single-photon detectors have also been demonstrated with sub-40 ps timing jitter, sub-milli-Hertz dark count rates, unity quantum efficiency, and -40 dB crosstalk. The Amethyst team has demonstrated InGaAs/InP single-photon avalanche detectors (SPADs) capable of >100 MHz bandwidth at 250 K by using gating and proprietary bulk defect passivation techniques. By integrating these source and detector technologies, the program will develop a high-speed quantum transceiver with an entangled-photon source and on-chip photonic conditioning components (transmitter) and photonic interferometric circuits with waveguide-integrated single-photon detectors (receiver). This ‘on-a-chip’ quantum transceiver will be capable of uncompromised 'qubit' detection. The Phase I program will deliver an emitter and detector device at TRL 4. This will provide the necessary platform for Phase II: A full systems-level design, fabrication and testing of an ‘on-a-chip’ AlGaAsOI/SPAD quantum photonic transceiver.
						More »",Space Technology Mission Directorate(STMD),"Amethyst Research, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,,,Aug2020,Sep2021,ObadiahOKegege,WeerasinghePriyantha,,,,
9,Ultra-Efficient Integrated Photonic Quantum Transceiver for High-Speed Quantum Communications,"Ground-to-satellite and satellite-to-satellite quantum encrypted communications, distributed sensing, and networking demand a disruptive ‘on-a-chip’ technology that permits ultra-efficient, high-speed entangled-photon generation and single-photon detection packaged to provide low size, weight, power, and cost. Building on the success of our Phase I program, this Phase II will develop and demonstrate a quantum photonics transceiver with plug-and-play modules comprising a time-bin entangled-photon pair generator, time-bin analyzers, and single-photon detector arrays, all operating at room temperature. The program integrates technology developed by the University of California, Santa Barbara, (UCSB) and Amethyst Research. The UCSB Team has demonstrated a <0.4 dB/cm loss AlGaAs-on-insulator photonics platform for entangled-photon pair generation. Signal rates >10 GHz/mW2 have been demonstrated—at least 100X faster than all other approaches and 10,000X faster than silicon integrated-photonic sources. Waveguide-integrated superconducting single-photon detectors have also been demonstrated with sub-40 ps timing jitter, sub-milli-Hertz dark count rates, unity quantum efficiency, and -40 dB crosstalk. The Amethyst team has demonstrated InGaAs and GaSb based single-photon avalanche detectors (SPADs) capable of >100 MHz bandwidth at 250 K by using gating and proprietary bulk defect passivation techniques. By integrating these source and detector technologies, the program will deliver a high-speed quantum transceiver with an entangled-photon source and on-chip photonic conditioning components (transmitter) and photonic interferometric circuits with waveguide-integrated single-photon detectors (receiver). This ‘on-a-chip’ quantum transceiver will be capable of uncompromised 'qubit' detection and demonstrate a time-bin entangled-pair QKD transceiver with plug-and-play receiver, transmitter, and detector modules at TRL 6.
						More »",Space Technology Mission Directorate(STMD),"Amethyst Research, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,,,Mar2022,Mar2024,RaymondMWheeler,WeerasinghePriyantha,,,,
