,original_language,original_title,overview,genre
0,en,The Shawshank Redemption,"['imprison', '1940', 'doubl', 'murder', 'wife', 'lover', 'upstand', 'banker', 'andi', 'dufresn', 'begin', 'new', 'life', 'shawshank', 'prison', 'put', 'account', 'skill', 'work', 'amor', 'warden', 'long', 'stretch', 'prison', 'dufresn', 'come', 'admir', 'inmat', ' ', 'includ', 'older', 'prison', 'name', 'red', ' ', 'integr', 'unquench', 'sens', 'hope']","['Drama', 'Crime']"
1,en,The Godfather,"['span', 'year', '1945', '1955', 'chronicl', 'fiction', 'italianamerican', 'corleon', 'crime', 'famili', 'organ', 'crime', 'famili', 'patriarch', 'vito', 'corleon', 'bare', 'surviv', 'attempt', 'life', 'youngest', 'son', 'michael', 'step', 'take', 'care', 'wouldb', 'killer', 'launch', 'campaign', 'bloodi', 'reveng']","['Drama', 'Crime']"
2,en,The Godfather Part II,"['continu', 'saga', 'corleon', 'crime', 'famili', 'young', 'vito', 'corleon', 'grow', 'sicili', '1910', 'new', 'york', '1950', 'michael', 'corleon', 'attempt', 'expand', 'famili', 'busi', 'la', 'vega', 'hollywood', 'cuba']","['Drama', 'Crime']"
3,en,Schindler's List,"['true', 'stori', 'businessman', 'oskar', 'schindler', 'save', 'thousand', 'jewish', 'live', 'nazi', 'work', 'slave', 'factori', 'world', 'war', 'ii']","['Drama', 'History', 'War']"
4,en,12 Angry Men,"['defens', 'prosecut', 'rest', 'juri', 'file', 'juri', 'room', 'decid', 'young', 'spanishamerican', 'guilti', 'innoc', 'murder', 'father', 'begin', 'open', 'shut', 'case', 'soon', 'becom', 'minidrama', 'juror', 'prejudic', 'preconcept', 'trial', 'accus']",['Drama']
5,hi, Dilwale Dulhania Le Jayenge (1995) ,"['raj', 'rich', 'carefre', 'happygolucki', 'second', 'gener', 'nri', 'simran', 'daughter', 'chaudhari', 'baldev', 'singh', 'spite', 'nri', 'strict', 'adher', 'indian', 'valu', 'simran', 'left', 'india', 'marri', 'childhood', 'fiancé', 'raj', 'leav', 'india', 'mission', 'hand', 'claim', 'ladi', 'love', 'nose', 'whole', 'famili', 'thu', 'begin', 'saga']","['Comedy', 'Drama', 'Romance']"
6,ja, Spirited Away (2001) ,"['young', 'girl', 'chihiro', 'becom', 'trap', 'strang', 'new', 'world', 'spirit', 'parent', 'undergo', 'mysteri', 'transform', 'must', 'call', 'upon', 'courag', 'never', 'knew', 'free', 'famili']","['Animation', 'Family', 'Fantasy']"
7,en,The Dark Knight,"['batman', 'rais', 'stake', 'war', 'crime', 'help', 'lt', 'jim', 'gordon', 'district', 'attorney', 'harvey', 'dent', 'batman', 'set', 'dismantl', 'remain', 'crimin', 'organ', 'plagu', 'street', 'partnership', 'prove', 'effect', 'soon', 'find', 'prey', 'reign', 'chao', 'unleash', 'rise', 'crimin', 'mastermind', 'known', 'terrifi', 'citizen', 'gotham', 'joker']","['Drama', 'Action', 'Crime', 'Thriller']"
8,ko, Parasite (2019) ,"['unemploy', 'kitaek', 'famili', 'take', 'peculiar', 'interest', 'wealthi', 'glamor', 'park', 'livelihood', 'get', 'entangl', 'unexpect', 'incid']","['Comedy', 'Thriller', 'Drama']"
9,en,The Green Mile,"['supernatur', 'tale', 'set', 'death', 'row', 'southern', 'prison', 'gentl', 'giant', 'john', 'coffey', 'possess', 'mysteri', 'power', 'heal', 'peopl', 'ailment', 'cell', 'block', 'head', 'guard', 'paul', 'edgecomb', 'recogn', 'coffey', 'miracul', 'gift', 'tri', 'desper', 'help', 'stave', 'condemn', 'man', 'execut']","['Fantasy', 'Drama', 'Crime']"
